"Date","Industry","Value"
1990-01-01,"Motor vehicle and parts dealers",1.5092
1990-02-01,"Motor vehicle and parts dealers",1.5109
1990-03-01,"Motor vehicle and parts dealers",1.5083
1990-04-01,"Motor vehicle and parts dealers",1.5057
1990-05-01,"Motor vehicle and parts dealers",1.5028
1990-06-01,"Motor vehicle and parts dealers",1.4989
1990-07-01,"Motor vehicle and parts dealers",1.4955
1990-08-01,"Motor vehicle and parts dealers",1.4912
1990-09-01,"Motor vehicle and parts dealers",1.4894
1990-10-01,"Motor vehicle and parts dealers",1.482
1990-11-01,"Motor vehicle and parts dealers",1.4741
1990-12-01,"Motor vehicle and parts dealers",1.4685
1991-01-01,"Motor vehicle and parts dealers",1.4602
1991-02-01,"Motor vehicle and parts dealers",1.4476
1991-03-01,"Motor vehicle and parts dealers",1.4385
1991-04-01,"Motor vehicle and parts dealers",1.4356
1991-05-01,"Motor vehicle and parts dealers",1.4329
1991-06-01,"Motor vehicle and parts dealers",1.4309
1991-07-01,"Motor vehicle and parts dealers",1.4304
1991-08-01,"Motor vehicle and parts dealers",1.4301
1991-09-01,"Motor vehicle and parts dealers",1.4312
1991-10-01,"Motor vehicle and parts dealers",1.4331
1991-11-01,"Motor vehicle and parts dealers",1.429
1991-12-01,"Motor vehicle and parts dealers",1.4255
1992-01-01,"Motor vehicle and parts dealers",1.4238
1992-02-01,"Motor vehicle and parts dealers",1.4233
1992-03-01,"Motor vehicle and parts dealers",1.4246
1992-04-01,"Motor vehicle and parts dealers",1.4271
1992-05-01,"Motor vehicle and parts dealers",1.4275
1992-06-01,"Motor vehicle and parts dealers",1.4281
1992-07-01,"Motor vehicle and parts dealers",1.4273
1992-08-01,"Motor vehicle and parts dealers",1.4268
1992-09-01,"Motor vehicle and parts dealers",1.4276
1992-10-01,"Motor vehicle and parts dealers",1.4304
1992-11-01,"Motor vehicle and parts dealers",1.4342
1992-12-01,"Motor vehicle and parts dealers",1.4385
1993-01-01,"Motor vehicle and parts dealers",1.4448
1993-02-01,"Motor vehicle and parts dealers",1.45
1993-03-01,"Motor vehicle and parts dealers",1.4537
1993-04-01,"Motor vehicle and parts dealers",1.4584
1993-05-01,"Motor vehicle and parts dealers",1.4638
1993-06-01,"Motor vehicle and parts dealers",1.4695
1993-07-01,"Motor vehicle and parts dealers",1.4761
1993-08-01,"Motor vehicle and parts dealers",1.4836
1993-09-01,"Motor vehicle and parts dealers",1.4909
1993-10-01,"Motor vehicle and parts dealers",1.4978
1993-11-01,"Motor vehicle and parts dealers",1.5047
1993-12-01,"Motor vehicle and parts dealers",1.5132
1994-01-01,"Motor vehicle and parts dealers",1.521
1994-02-01,"Motor vehicle and parts dealers",1.5301
1994-03-01,"Motor vehicle and parts dealers",1.5409
1994-04-01,"Motor vehicle and parts dealers",1.5499
1994-05-01,"Motor vehicle and parts dealers",1.5553
1994-06-01,"Motor vehicle and parts dealers",1.5596
1994-07-01,"Motor vehicle and parts dealers",1.5686
1994-08-01,"Motor vehicle and parts dealers",1.5766
1994-09-01,"Motor vehicle and parts dealers",1.584
1994-10-01,"Motor vehicle and parts dealers",1.589
1994-11-01,"Motor vehicle and parts dealers",1.5986
1994-12-01,"Motor vehicle and parts dealers",1.606
1995-01-01,"Motor vehicle and parts dealers",1.6114
1995-02-01,"Motor vehicle and parts dealers",1.6162
1995-03-01,"Motor vehicle and parts dealers",1.6174
1995-04-01,"Motor vehicle and parts dealers",1.6193
1995-05-01,"Motor vehicle and parts dealers",1.621
1995-06-01,"Motor vehicle and parts dealers",1.6235
1995-07-01,"Motor vehicle and parts dealers",1.6255
1995-08-01,"Motor vehicle and parts dealers",1.6297
1995-09-01,"Motor vehicle and parts dealers",1.6343
1995-10-01,"Motor vehicle and parts dealers",1.6388
1995-11-01,"Motor vehicle and parts dealers",1.6433
1995-12-01,"Motor vehicle and parts dealers",1.6476
1996-01-01,"Motor vehicle and parts dealers",1.6527
1996-02-01,"Motor vehicle and parts dealers",1.6588
1996-03-01,"Motor vehicle and parts dealers",1.6654
1996-04-01,"Motor vehicle and parts dealers",1.6729
1996-05-01,"Motor vehicle and parts dealers",1.6808
1996-06-01,"Motor vehicle and parts dealers",1.6878
1996-07-01,"Motor vehicle and parts dealers",1.6931
1996-08-01,"Motor vehicle and parts dealers",1.6962
