"Date","Industry","Value"
1990-01-01,"Department stores, except discount",0.7395
1990-02-01,"Department stores, except discount",0.7306
1990-03-01,"Department stores, except discount",0.7334
1990-04-01,"Department stores, except discount",0.7349
1990-05-01,"Department stores, except discount",0.7342
1990-06-01,"Department stores, except discount",0.734
1990-07-01,"Department stores, except discount",0.7351
1990-08-01,"Department stores, except discount",0.732
1990-09-01,"Department stores, except discount",0.7313
1990-10-01,"Department stores, except discount",0.7304
1990-11-01,"Department stores, except discount",0.7277
1990-12-01,"Department stores, except discount",0.7254
1991-01-01,"Department stores, except discount",0.7244
1991-02-01,"Department stores, except discount",0.716
1991-03-01,"Department stores, except discount",0.7141
1991-04-01,"Department stores, except discount",0.7097
1991-05-01,"Department stores, except discount",0.7084
1991-06-01,"Department stores, except discount",0.7068
1991-07-01,"Department stores, except discount",0.704
1991-08-01,"Department stores, except discount",0.702
1991-09-01,"Department stores, except discount",0.6991
1991-10-01,"Department stores, except discount",0.6982
1991-11-01,"Department stores, except discount",0.6975
1991-12-01,"Department stores, except discount",0.6979
1992-01-01,"Department stores, except discount",0.7008
1992-02-01,"Department stores, except discount",0.7026
1992-03-01,"Department stores, except discount",0.701
1992-04-01,"Department stores, except discount",0.7053
1992-05-01,"Department stores, except discount",0.7089
1992-06-01,"Department stores, except discount",0.7108
1992-07-01,"Department stores, except discount",0.7089
1992-08-01,"Department stores, except discount",0.7113
1992-09-01,"Department stores, except discount",0.7128
1992-10-01,"Department stores, except discount",0.7126
1992-11-01,"Department stores, except discount",0.7101
1992-12-01,"Department stores, except discount",0.7166
1993-01-01,"Department stores, except discount",0.7198
1993-02-01,"Department stores, except discount",0.728
1993-03-01,"Department stores, except discount",0.7262
1993-04-01,"Department stores, except discount",0.7247
1993-05-01,"Department stores, except discount",0.7244
1993-06-01,"Department stores, except discount",0.7253
1993-07-01,"Department stores, except discount",0.7289
1993-08-01,"Department stores, except discount",0.7306
1993-09-01,"Department stores, except discount",0.7334
1993-10-01,"Department stores, except discount",0.7359
1993-11-01,"Department stores, except discount",0.7332
1993-12-01,"Department stores, except discount",0.7375
1994-01-01,"Department stores, except discount",0.7355
1994-02-01,"Department stores, except discount",0.7442
1994-03-01,"Department stores, except discount",0.7466
1994-04-01,"Department stores, except discount",0.7509
1994-05-01,"Department stores, except discount",0.754
1994-06-01,"Department stores, except discount",0.7579
1994-07-01,"Department stores, except discount",0.7652
1994-08-01,"Department stores, except discount",0.772
1994-09-01,"Department stores, except discount",0.7771
1994-10-01,"Department stores, except discount",0.782
1994-11-01,"Department stores, except discount",0.7915
1994-12-01,"Department stores, except discount",0.7949
1995-01-01,"Department stores, except discount",0.7984
1995-02-01,"Department stores, except discount",0.7968
1995-03-01,"Department stores, except discount",0.7879
1995-04-01,"Department stores, except discount",0.7957
1995-05-01,"Department stores, except discount",0.7972
1995-06-01,"Department stores, except discount",0.8006
1995-07-01,"Department stores, except discount",0.8014
1995-08-01,"Department stores, except discount",0.8003
1995-09-01,"Department stores, except discount",0.802
1995-10-01,"Department stores, except discount",0.8089
1995-11-01,"Department stores, except discount",0.8005
1995-12-01,"Department stores, except discount",0.7966
1996-01-01,"Department stores, except discount",0.7981
1996-02-01,"Department stores, except discount",0.7996
1996-03-01,"Department stores, except discount",0.8029
1996-04-01,"Department stores, except discount",0.7963
1996-05-01,"Department stores, except discount",0.8097
1996-06-01,"Department stores, except discount",0.8106
1996-07-01,"Department stores, except discount",0.8104
1996-08-01,"Department stores, except discount",0.8096
1996-09-01,"Department stores, except discount",0.8087
1996-10-01,"Department stores, except discount",0.8158
1996-11-01,"Department stores, except discount",0.8082
1996-12-01,"Department stores, except discount",0.8074
1997-01-01,"Department stores, except discount",0.802
1997-02-01,"Department stores, except discount",0.8022
1997-03-01,"Department stores, except discount",0.8091
1997-04-01,"Department stores, except discount",0.8069
1997-05-01,"Department stores, except discount",0.8077
1997-06-01,"Department stores, except discount",0.8087
1997-07-01,"Department stores, except discount",0.8111
1997-08-01,"Department stores, except discount",0.8133
1997-09-01,"Department stores, except discount",0.8128
1997-10-01,"Department stores, except discount",0.8171
1997-11-01,"Department stores, except discount",0.8189
1997-12-01,"Department stores, except discount",0.8198
1998-01-01,"Department stores, except discount",0.8178
1998-02-01,"Department stores, except discount",0.8205
1998-03-01,"Department stores, except discount",0.8186
1998-04-01,"Department stores, except discount",0.8193
1998-05-01,"Department stores, except discount",0.823
1998-06-01,"Department stores, except discount",0.8235
1998-07-01,"Department stores, except discount",0.8245
1998-08-01,"Department stores, except discount",0.8253
1998-09-01,"Department stores, except discount",0.8284
1998-10-01,"Department stores, except discount",0.8296
1998-11-01,"Department stores, except discount",0.8268
1998-12-01,"Department stores, except discount",0.8246
1999-01-01,"Department stores, except discount",0.8316
1999-02-01,"Department stores, except discount",0.8326
1999-03-01,"Department stores, except discount",0.8347
1999-04-01,"Department stores, except discount",0.8391
1999-05-01,"Department stores, except discount",0.8395
1999-06-01,"Department stores, except discount",0.8415
1999-07-01,"Department stores, except discount",0.8424
1999-08-01,"Department stores, except discount",0.8425
1999-09-01,"Department stores, except discount",0.8416
1999-10-01,"Department stores, except discount",0.8432
1999-11-01,"Department stores, except discount",0.8279
1999-12-01,"Department stores, except discount",0.8469
2000-01-01,"Department stores, except discount",0.8508
2000-02-01,"Department stores, except discount",0.8516
2000-03-01,"Department stores, except discount",0.8529
2000-04-01,"Department stores, except discount",0.8627
2000-05-01,"Department stores, except discount",0.8542
2000-06-01,"Department stores, except discount",0.8562
2000-07-01,"Department stores, except discount",0.8596
2000-08-01,"Department stores, except discount",0.8655
2000-09-01,"Department stores, except discount",0.8691
2000-10-01,"Department stores, except discount",0.8687
2000-11-01,"Department stores, except discount",0.8658
2000-12-01,"Department stores, except discount",0.8665
2001-01-01,"Department stores, except discount",0.8636
2001-02-01,"Department stores, except discount",0.8678
2001-03-01,"Department stores, except discount",0.8717
2001-04-01,"Department stores, except discount",0.8679
2001-05-01,"Department stores, except discount",0.8668
