"Date","Industry","Value"
1990-01-01,"Warehousing and storage",0.406
1990-02-01,"Warehousing and storage",0.4063
1990-03-01,"Warehousing and storage",0.4069
1990-04-01,"Warehousing and storage",0.4072
1990-05-01,"Warehousing and storage",0.4068
1990-06-01,"Warehousing and storage",0.4073
1990-07-01,"Warehousing and storage",0.4076
1990-08-01,"Warehousing and storage",0.4066
1990-09-01,"Warehousing and storage",0.4083
1990-10-01,"Warehousing and storage",0.4063
1990-11-01,"Warehousing and storage",0.4057
1990-12-01,"Warehousing and storage",0.4052
1991-01-01,"Warehousing and storage",0.4046
1991-02-01,"Warehousing and storage",0.404
1991-03-01,"Warehousing and storage",0.4036
1991-04-01,"Warehousing and storage",0.4011
1991-05-01,"Warehousing and storage",0.4003
1991-06-01,"Warehousing and storage",0.4019
1991-07-01,"Warehousing and storage",0.4017
1991-08-01,"Warehousing and storage",0.4026
1991-09-01,"Warehousing and storage",0.4033
1991-10-01,"Warehousing and storage",0.4041
1991-11-01,"Warehousing and storage",0.4045
1991-12-01,"Warehousing and storage",0.406
1992-01-01,"Warehousing and storage",0.4045
1992-02-01,"Warehousing and storage",0.4041
1992-03-01,"Warehousing and storage",0.4039
1992-04-01,"Warehousing and storage",0.4045
1992-05-01,"Warehousing and storage",0.4053
1992-06-01,"Warehousing and storage",0.4059
1992-07-01,"Warehousing and storage",0.4058
1992-08-01,"Warehousing and storage",0.4065
1992-09-01,"Warehousing and storage",0.4077
1992-10-01,"Warehousing and storage",0.4064
1992-11-01,"Warehousing and storage",0.4069
1992-12-01,"Warehousing and storage",0.4083
1993-01-01,"Warehousing and storage",0.4098
1993-02-01,"Warehousing and storage",0.4102
1993-03-01,"Warehousing and storage",0.4107
1993-04-01,"Warehousing and storage",0.4117
1993-05-01,"Warehousing and storage",0.4127
1993-06-01,"Warehousing and storage",0.4127
1993-07-01,"Warehousing and storage",0.4137
1993-08-01,"Warehousing and storage",0.414
1993-09-01,"Warehousing and storage",0.4147
1993-10-01,"Warehousing and storage",0.4169
1993-11-01,"Warehousing and storage",0.417
1993-12-01,"Warehousing and storage",0.4169
1994-01-01,"Warehousing and storage",0.4191
1994-02-01,"Warehousing and storage",0.4222
1994-03-01,"Warehousing and storage",0.425
1994-04-01,"Warehousing and storage",0.4266
1994-05-01,"Warehousing and storage",0.4275
1994-06-01,"Warehousing and storage",0.4292
1994-07-01,"Warehousing and storage",0.4317
1994-08-01,"Warehousing and storage",0.4334
1994-09-01,"Warehousing and storage",0.4364
1994-10-01,"Warehousing and storage",0.4382
1994-11-01,"Warehousing and storage",0.4402
1994-12-01,"Warehousing and storage",0.4409
1995-01-01,"Warehousing and storage",0.4416
1995-02-01,"Warehousing and storage",0.4419
1995-03-01,"Warehousing and storage",0.4416
1995-04-01,"Warehousing and storage",0.4423
1995-05-01,"Warehousing and storage",0.443
1995-06-01,"Warehousing and storage",0.4439
1995-07-01,"Warehousing and storage",0.4439
1995-08-01,"Warehousing and storage",0.4452
1995-09-01,"Warehousing and storage",0.4451
1995-10-01,"Warehousing and storage",0.4447
1995-11-01,"Warehousing and storage",0.4462
1995-12-01,"Warehousing and storage",0.4471
1996-01-01,"Warehousing and storage",0.448
1996-02-01,"Warehousing and storage",0.4494
1996-03-01,"Warehousing and storage",0.4496
1996-04-01,"Warehousing and storage",0.4497
1996-05-01,"Warehousing and storage",0.4514
1996-06-01,"Warehousing and storage",0.4525
1996-07-01,"Warehousing and storage",0.4526
1996-08-01,"Warehousing and storage",0.4511
1996-09-01,"Warehousing and storage",0.4524
1996-10-01,"Warehousing and storage",0.4535
1996-11-01,"Warehousing and storage",0.4557
1996-12-01,"Warehousing and storage",0.4552
1997-01-01,"Warehousing and storage",0.4553
